,sitio,sum_bytes,latitud,longitud,consumed_data,normalized
0,19-00101,1868244915908,25.678705000005973,-100.29060299997771,1.9 TB,0.18846654872759508
1,19-00102,3543487906309,25.668009000000367,-100.31227099996822,3.5 TB,0.358958890369224
2,19-00104,2257844565841,25.699630999996888,-100.31871000001688,2.3 TB,0.22811677081504061
3,19-00105,3525043938068,25.682299999990992,-100.31675799999574,3.5 TB,0.3570818162058996
4,19-00107,2703240537971,25.695339999997582,-100.33616099997705,2.7 TB,0.2734454799523441
5,19-00109,3264401380982,25.710148999995535,-100.27929199999305,3.3 TB,0.33055577780808065
6,19-00110,2318358045337,25.690148999995287,-100.2955140000206,2.3 TB,0.23427533102348308
7,19-00111,818847629005,25.67583329999571,-100.33166669998403,818.8 GB,0.08166759372128977
8,19-00120,1563993748490,25.67198599999566,-100.2553139999739,1.6 TB,0.15750238754171395
9,19-00123,1192559200275,25.718781000002775,-100.315965999988,1.2 TB,0.11970085889504432
10,19-00126,1901134996506,25.695955600002627,-100.18200000001006,1.9 TB,0.19181382842974304
11,19-00201,1542148539251,25.68632899999414,-100.34368399998293,1.5 TB,0.15527916327028038
12,19-00202,1065656857300,25.70981500000461,-100.358374999996,1.1 TB,0.10678579061086788
13,19-00203,4205585421268,25.75076299999348,-100.36380299997454,4.2 TB,0.42634168580085435
14,19-00204,2888759537074,25.728182999999284,-100.3755799999936,2.9 TB,0.292326065489676
15,19-00205,964849317161,25.757959000004195,-100.40058200000435,964.8 GB,0.09652643499982508
16,19-00206,6933138409572,25.788754999991994,-100.43132099998594,6.9 TB,0.7039294140242441
17,19-00209,845441831845,25.716156999994308,-100.38225200001771,845.4 GB,0.0843741311861615
18,19-00301,2860330255891,25.65318000000506,-100.28228699998394,2.9 TB,0.28943276896621595
19,19-00302,1404089389856,25.636618999997506,-100.28133300000741,1.4 TB,0.14122864773296673
20,19-00303,3396739145185,25.659014999999467,-100.3178840000138,3.4 TB,0.34402401819820244
21,19-00304,2142202120743,25.674816999996082,-100.35411199997749,2.1 TB,0.21634764157773392
22,19-00305,1819678744560,25.665149999997155,-100.33459399999525,1.8 TB,0.1835238864838885
23,19-00306,321408725834,25.57181500000238,-100.28282800001521,321.4 GB,0.031042386565540626
24,19-00307,1168808356712,25.60547599999733,-100.26877900001695,1.2 TB,0.11728369496227622
25,19-00308,1169385918136,25.5710590000004,-100.24109599997864,1.2 TB,0.11734247437528308
26,19-00309,2876354582446,25.629856000008328,-100.30134200001586,2.9 TB,0.2910635920606843
27,19-00311,1015390744729,25.405277799995165,-100.13333330000617,1.0 TB,0.1016701224441859
28,19-00313,1041957867633,25.26401500000375,-100.00628100001973,1.0 TB,0.10437390393769909
29,19-00401,6526388521807,25.80300800000148,-100.27509999998571,6.5 TB,0.6625337829278114
30,19-00402,4428584502880,25.78305560000698,-100.31666669996639,4.4 TB,0.44903668337781
31,19-00501,2484822525601,25.72479299999489,-100.21806800000093,2.5 TB,0.25121670561987675
32,19-00502,1291594346935,25.702492000005655,-100.25625699999318,1.3 TB,0.12977983499321852
33,19-00503,3161743207400,25.75114299999347,-100.29934099998894,3.2 TB,0.3201080800693434
34,19-00504,5877119168524,25.75149719999528,-100.254722200028,5.9 TB,0.5964565314295868
35,19-00505,2202464507727,25.736717999991036,-100.2874219999806,2.2 TB,0.22248064767218523
36,19-00506,4152754150843,25.719893999995705,-100.2425140000251,4.2 TB,0.4209649571362537
37,19-00507,983113487531,25.743728000001177,-100.23222100001082,983.1 GB,0.0983852108265949
38,19-00520,1309850441809,25.89664900000166,-100.21217199999714,1.3 TB,0.13163778896296172
39,19-00523,150274481567,26.509521999997183,-100.00696999999113,150.3 GB,0.013625762107277846
40,19-00602,5335549481641,25.782482000005505,-100.18429800000105,5.3 TB,0.5413400590086488
41,19-00603,1572048228965,25.789056000003605,-100.14911099999935,1.6 TB,0.15832210578244557
42,19-00604,4178249780809,25.745555599995434,-100.19222220002366,4.2 TB,0.4235596909625933
43,19-00605,4769943939696,25.740400000004332,-100.1624020000196,4.8 TB,0.48377741654768674
44,19-00701,3577100677452,25.69575900000509,-100.23198699998213,3.6 TB,0.3623797195230069
45,19-00702,1693758696872,25.678627999999723,-100.26594200000213,1.7 TB,0.17070878806953022
46,19-00704,3473983984790,25.655460999992712,-100.18877199999032,3.5 TB,0.3518853575140208
47,19-00705,3478251408654,25.665780999993615,-100.21218200002673,3.5 TB,0.3523196605324603
48,19-00707,1780629717991,25.656604000001778,-100.2620840000251,1.8 TB,0.17954980032640433
49,19-00708,1568649692061,25.68376200000055,-100.19587599998844,1.6 TB,0.15797623087460325
50,19-00709,6781195091869,25.631606000005974,-100.1802940000134,6.8 TB,0.6884658829541743
51,19-00710,3432586991622,25.645352000000628,-100.09483299999792,3.4 TB,0.3476723147837567
52,19-00712,480436690893,25.599814999996774,-99.96187300001121,480.4 GB,0.047226934302655496
53,19-00720,174234503987,25.622820899996967,-99.7302230000167,174.2 GB,0.016064214529749352
54,19-00721,122378965541,25.75603200000199,-99.37375600000415,122.4 GB,0.010786787775896882
55,19-00802,1878397514455,25.66289100000184,-100.38268900001874,1.9 TB,0.18949979602959457
56,19-00803,430702657913,25.643508000001596,-100.3703710000175,430.7 GB,0.042165416785120605
57,19-00804,1664099388219,25.65352400000237,-100.35984400000685,1.7 TB,0.16769030954868508
58,19-00805,4073928635095,25.675111000002413,-100.41903800003043,4.1 TB,0.4129427497084413
59,19-00806,192597421347,25.62677800000264,-100.35516299999524,192.6 GB,0.017933040006421676
60,19-00807,94906954827,25.64371099999788,-100.40450100000818,94.9 GB,0.007990914303766947
61,19-00810,2209853503189,25.683274000005124,-100.48233700000098,2.2 TB,0.22323263836602136
62,19-00821,2365889191758,25.651538999995008,-100.74711999997024,2.4 TB,0.2391126570118089
